location_id,borough,zone,centroid_lat,centroid_lon,area_sqkm,n_parts
123,Brooklyn,Homecrest,40.599954,-73.964334,2.786347,1
124,Queens,Howard Beach,40.658248,-73.844918,5.933061,5
125,Manhattan,Hudson Sq,40.72629,-74.007486,0.381453,1
126,Bronx,Hunts Point,40.812074,-73.885537,4.621442,1
127,Manhattan,Inwood,40.866075,-73.919308,1.340668,2
128,Manhattan,Inwood Hill Park,40.872379,-73.92437,0.927448,2
129,Queens,Jackson Heights,40.757312,-73.885317,4.444695,1
130,Queens,Jamaica,40.704369,-73.793981,4.395024,1
131,Queens,Jamaica Estates,40.720655,-73.776101,3.97526,1
132,Queens,JFK Airport,40.646985,-73.78653,18.216082,4
133,Brooklyn,Kensington,40.64059,-73.976199,1.476558,1
134,Queens,Kew Gardens,40.708051,-73.828712,1.899108,1
135,Queens,Kew Gardens Hills,40.728377,-73.821195,4.389606,1
136,Bronx,Kingsbridge Heights,40.865264,-73.905911,1.223546,1
137,Manhattan,Kips Bay,40.740439,-73.976495,0.643865,1
138,Queens,LaGuardia Airport,40.774376,-73.873628,2.928869,3
139,Queens,Laurelton,40.677098,-73.744235,4.193524,1
140,Manhattan,Lenox Hill East,40.765484,-73.954739,0.69297,1
141,Manhattan,Lenox Hill West,40.766948,-73.959635,0.718704,1
142,Manhattan,Lincoln Square East,40.773633,-73.981532,0.70925,1
143,Manhattan,Lincoln Square West,40.775965,-73.987646,0.760631,1
144,Manhattan,Little Italy/NoLiTa,40.720889,-73.996919,0.445462,1
145,Queens,Long Island City/Hunters Point,40.745379,-73.948892,2.559919,1
146,Queens,Long Island City/Queens Plaza,40.754243,-73.934829,0.981268,1
147,Bronx,Longwood,40.819676,-73.898957,0.996982,1
148,Manhattan,Lower East Side,40.718938,-73.990896,0.654425,1
149,Brooklyn,Madison,40.604913,-73.948136,2.543607,1
150,Brooklyn,Manhattan Beach,40.580473,-73.943629,1.895665,1
151,Manhattan,Manhattan Valley,40.797962,-73.968168,0.833294,1
152,Manhattan,Manhattanville,40.817975,-73.953782,0.989241,1
153,Manhattan,Marble Hill,40.875968,-73.910379,0.303928,1
154,Brooklyn,Marine Park/Floyd Bennett Field,40.593571,-73.902595,9.123175,3
155,Brooklyn,Marine Park/Mill Basin,40.614591,-73.915277,6.441063,1
156,Staten Island,Mariners Harbor,40.631308,-74.167234,8.273392,2
157,Queens,Maspeth,40.723995,-73.902331,3.310504,1
158,Manhattan,Meatpacking/West Village West,40.735035,-74.008984,0.660273,1
159,Bronx,Melrose South,40.81826,-73.912849,1.604387,1
160,Queens,Middle Village,40.718337,-73.880051,5.359702,1
161,Manhattan,Midtown Center,40.758028,-73.977698,0.674338,1
162,Manhattan,Midtown East,40.756688,-73.972356,0.449114,1
